Facility ID	Facility Name	Address	City	State	ZIP Code	County Name	Unweighted Normalized Clinical Outcomes Domain Score	Weighted Normalized Clinical Outcomes Domain Score	Unweighted Person and Community Engagement Domain Score	Weighted Person and Community Engagement Domain Score	Unweighted Normalized Safety Domain Score	Weighted Safety Domain Score	Unweighted Normalized Efficiency and Cost Reduction Domain Score	Weighted Efficiency and Cost Reduction Domain Score	Total Performance Score	Location
30071	FORT DEFIANCE INDIAN HOSPITAL	PO BOX 649	FORT DEFIANCE	AZ	86504	Apache	75	18.75	23	5.75	35	8.75	100	25	58.25	
50309	SUTTER ROSEVILLE MEDICAL CENTER	ONE MEDICAL PLAZA	ROSEVILLE	CA	95661	Placer	60	15	37	9.25	50	12.5	40	10	46.75	
180010	SAINT JOSEPH HOSPITAL	ONE SAINT JOSEPH DRIVE	LEXINGTON	KY	40504	Fayette	70	17.5	19	4.75	62	15.5	0	0	37.75	
320059	NORTHERN NAVAJO MEDICAL CENTER	US HWY 491 NORTH	SHIPROCK	NM	87420	San Juan	35	8.75	28	7	65	16.25	100	25	57	
420106	PRISMA HEALTH BAPTIST PARKRIDGE	400 PALMETTO HEALTH PARKWAY	COLUMBIA	SC	29212	Lexington	55	13.75	49	12.25	73.33333333	18.33333333	30	7.5	51.83333333	
450775	HCA HOUSTON HEALTHCARE KINGWOOD	22999 US HWY 59	KINGWOOD	TX	77325	Harris	70	17.5	19	4.75	33.33333333	8.333333333	0	0	30.58333333	
420026	PROVIDENCE HEALTH	120 GATEWAY CORPORATE BLVD	COLUMBIA	SC	29203	Richland	50	12.5	32	8	28	7	10	2.5	30	POINT (-80.955054 34.104422)
100276	BROWARD HEALTH CORAL SPRINGS	3000 CORAL HILLS DR	CORAL SPRINGS	FL	33065	Broward	85	21.25	13	3.25	56.66666667	14.16666667	0	0	38.66666667	POINT (-80.254161 26.268779)
140307	METRO-EAST SERVICES INC	1404 CROSS STREET	SHILOH	IL	62269	Saint Clair	66.66666667	16.66666667	49	12.25	50	12.5	50	12.5	53.91666667	POINT (-89.90689 38.572559)
20024	CENTRAL PENINSULA GENERAL HOSPITAL	250 HOSPITAL PLACE	SOLDOTNA	AK	99669	Kenai Peninsula	60	15	32	8	15	3.75	60	15	41.75	POINT (-151.077658 60.49386500000001)
420107	MCLEOD HEALTH CHERAW	711 CHESTERFIELD HIGHWAY	CHERAW	SC	29520	Chesterfield	5	1.25	46	11.5	0	0	30	7.5	20.25	POINT (-79.918096 34.695372)
240053	PARK NICOLLET METHODIST HOSPITAL	6500 EXCELSIOR BLVD	SAINT LOUIS PARK	MN	55426	Hennepin	62.5	15.625	37	9.25	61.66666667	15.41666667	40	10	50.29166667	POINT (-93.362391 44.927054)
330162	NORTHERN WESTCHESTER HOSPITAL	400 EAST MAIN STREET	MOUNT KISCO	NY	10549	Westchester	67.5	16.875	56	14	45	11.25	30	7.5	49.625	POINT (-73.724449 41.196692)
510058	CAMDEN CLARK MEDICAL CENTER	800 GARFIELD AVE	PARKERSBURG	WV	26101	Wood	42.5	10.625	22	5.5	36.66666667	9.166666667	0	0	25.29166667	POINT (-81.560426 39.270209)
320009	LOVELACE MEDICAL CENTER	601 DR MARTIN LUTHER KING JR AVE NE	ALBUQUERQUE	NM	87102	Bernalillo	77.5	19.375	24	6	52	13	10	2.5	40.875	POINT (-106.639765 35.085622)
